Year      Month     Day       NO2+NO3_mg/l        Kjeldahl N_mg/l     Q_Ml/d                
2005      1         12        0.01                0.17                12.93               
2005      1         13        0.01                0.17                11.05               
2005      2         10        0.01                0.21                6.66                
2005      3         10        0.01                0.17                12.89               
2005      4         7         0.02                0.15                15.91               
2005      5         5         0.01                0.11                12.37               
2005      6         9         0.006               0.09                11.85               
2005      7         7         0.16                0.2                 23.8                
2005      8         4         0.21                0.12                39.12               
2005      9         8         0.02                0.16                22.81               
2005      10        6         0.01                0.18                22.62               
2005      11        10        0.01                0.24                13.37               
2005      12        8         0.02                0.24                63.93               
2006      1         11        0.006               0.25                9.92                
2006      2         8         0.006               0.26                8.65                
2006      3         8         0.01                0.19                1.3                 
2006      4         5         0.004               0.14                6.94                
2006      5         3         0.01                0.13                6.36                
2006      6         7         0.18                0.3                 290.81              
2006      7         5         0.15                0.15                51.18               
2006      8         9         0.18                0.14                94.73               
2006      9         6         0.09                0.15                43.12               
2006      10        4         0.06                0.08                31.07               
2006      11        15        0.01                0.16                32.36               
2006      12        6         0.01                0.16                8.69                
2007      1         10        0.01                nan                 2.0                 
2007      1         10        nan                 0.14                2.0                 
2007      2         7         0.01                0.21                0.0                 
2007      3         20        0.006               0.24                8.98                
2007      4         17        0.02                0.13                5.37                
2007      5         15        0.01                0.14                6.6                 
2007      6         12        0.05                0.12                12.78               
2007      7         17        0.17                0.24                502.86              
2007      8         21        0.11                0.14                65.66               
2007      9         11        0.05                0.1                 47.31               
2007      10        17        0.01                0.08                27.47               
2007      11        14        0.01                0.22                30.4                
2007      12        13        0.02                0.19                22.19               
2008      1         16        0.07                0.24                7.1                 
2008      2         13        0.01                0.16                16.15               
2008      3         13        0.003               0.13                9.48                
2008      4         15        0.003               0.05                9.47                
2008      5         13        0.01                0.13                7.79                
2008      6         11        0.01                0.02                9.06                
2008      7         15        0.01                0.08                8.71                
2008      8         19        0.03                0.11                21.47               
2008      9         16        0.008               0.14                11.59               
2008      10        14        0.01                0.18                6.75                
2008      11        18        0.01                0.28                1.68                
2008      12        16        0.02                0.37                75.23               
2009      1         13        0.003               0.24                27.6                
2009      2         17        0.006               0.22                6.3                 
2009      3         19        0.007               0.19                4.04                
2009      4         21        0.004               0.18                4.75                
2009      5         19        0.009               0.09                2.69                
2009      6         16        0.003               0.11                13.12               
2009      8         3         0.009               0.08                8.83                
2009      8         25        0.004               0.08                7.48                
2009      9         22        0.005               0.11                5.78                
2009      10        20        0.002               0.19                33.16               
2009      11        18        0.006               0.08                6.93                
2009      12        15        0.006               0.18                3.86                
2010      1         19        0.007               0.18                2.13                
2010      2         18        0.138               0.3                 93.35               
2010      3         16        0.007               0.16                9.64                
2010      5         18        0.08                0.02                7.91                
2010      6         17        0.021               0.13                24.42               
2010      7         21        0.003               0.1                 13.44               
2010      8         17        0.082               0.25                50.82               
2010      9         21        0.004               0.15                13.03               
2010      10        19        0.003               0.25                16.51               
2010      11        16        0.003               0.24                22.5                
2010      12        15        0.005               0.35                19.44               
2011      1         19        0.005               0.33                9.91                
2011      2         17        0.003               0.28                5.67                
2011      3         16        0.005               0.24                6.1                 
2011      4         19        0.003               0.24                28.39               
2011      5         19        0.003               0.14                24.03               
2011      6         22        0.26                0.22                167.35              
2011      8         18        0.16                0.15                135.68              
2011      9         15        0.093               0.19                81.06               
2011      10        20        0.068               0.2                 47.8                
2011      11        16        0.012               0.26                44.07               
2011      12        14        0.032               0.3                 77.94               
2012      1         18        0.006               0.22                22.95               
2012      2         8         0.01                0.34                17.78               
