Year      Month     Day       TotalP_mg/l         Q_Ml/d    
2005      1         12        0.01                12.93               
2005      1         13        0.01                11.05               
2005      2         10        0.02                6.66                
2005      3         10        0.01                12.89               
2005      4         7         0.01                15.91               
2005      5         5         0.005               12.37               
2005      6         9         0.005               11.85               
2005      7         7         0.01                23.8                
2005      8         4         0.01                39.12               
2005      9         8         0.009               22.81               
2005      10        6         0.01                22.62               
2005      11        10        0.01                13.37               
2005      12        8         0.01                63.93               
2006      1         11        0.02                9.92                
2006      2         8         0.007               8.65                
2006      3         8         0.01                1.3                 
2006      4         5         0.01                6.94                
2006      5         3         0.007               6.36                
2006      6         7         0.01                290.81              
2006      7         5         0.006               51.18               
2006      8         9         0.009               94.73               
2006      9         6         0.005               43.12               
2006      10        4         0.008               31.07               
2006      11        15        0.01                32.36               
2006      12        6         0.01                8.69                
2007      1         10        0.01                2.0                 
2007      1         10        nan                 2.0                 
2007      2         7         0.02                0.0                 
2007      3         20        0.02                8.98                
2007      4         17        0.005               5.37                
2007      5         15        0.009               6.6                 
2007      6         12        0.007               12.78               
2007      7         17        0.01                502.86              
2007      8         21        0.01                65.66               
2007      9         11        0.008               47.31               
2007      10        17        0.005               27.47               
2007      11        14        0.01                30.4                
2007      12        13        0.01                22.19               
2008      1         16        0.01                7.1                 
2008      2         13        0.01                16.15               
2008      3         13        0.008               9.48                
2008      4         15        0.005               9.47                
2008      5         13        0.005               7.79                
2008      6         11        0.005               9.06                
2008      7         15        0.006               8.71                
2008      8         19        0.01                21.47               
2008      9         16        0.01                11.59               
2008      10        14        0.009               6.75                
2008      11        18        0.02                1.68                
2008      12        16        0.01                75.23               
2009      1         13        0.01                27.6                
2009      2         17        0.01                6.3                 
2009      3         19        0.01                4.04                
2009      4         21        0.01                4.75                
2009      5         19        0.007               2.69                
2009      6         16        0.007               13.12               
2009      8         3         0.01                8.83                
2009      8         25        0.005               7.48                
2009      9         22        0.005               5.78                
2009      10        20        0.01                33.16               
2009      11        18        0.005               6.93                
2009      12        15        0.005               3.86                
2010      1         19        0.005               2.13                
2010      2         18        0.013               93.35               
2010      3         16        0.005               9.64                
2010      5         18        0.005               7.91                
2010      6         17        0.015               24.42               
2010      7         21        0.005               13.44               
2010      8         17        0.01                50.82               
2010      9         21        0.015               13.03               
2010      10        19        0.02                16.51               
2010      11        16        0.027               22.5                
2010      12        15        0.033               19.44               
2011      1         19        0.015               9.91                
2011      2         17        0.04                5.67                
2011      3         16        0.009               6.1                 
2011      4         19        0.008               28.39               
2011      5         19        0.005               24.03               
2011      6         22        0.013               167.35              
2011      8         18        0.017               135.68              
2011      9         15        0.028               81.06               
2011      10        20        0.013               47.8                
2011      11        16        0.006               44.07               
2011      12        14        0.02                77.94               
2012      1         18        0.01                22.95               
2012      2         8         0.014               17.78               
2012      3         15        0.014               354.19              
2012      4         18        0.005               84.53               
2012      5         24        0.005               88.13               
2012      6         20        0.009               240.66              
2012      7         24        0.007               83.89               
2012      8         22        0.017               377.23              
2012      9         19        0.012               105.44              
2012      10        17        0.007               69.36               
2012      11        21        0.009               49.5                
2012      12        19        0.016               32.07               
2013      1         17        0.015               17.8                
2013      2         19        0.014               12.97               
2013      3         13        0.017               18.34               
2013      4         18        0.011               27.28               
2013      5         23        0.009               26.49               
2013      6         25        0.027               845.01              
2013      7         17        0.007               111.43              
2013      8         22        0.008               55.93               
2013      9         19        0.017               111.63              
2013      10        16        0.007               40.16               
2013      11        20        0.015               36.74               
2013      12        19        0.026               36.32               
2014      1         22        0.016               19.8                
2014      2         19        0.019               11.16               
2014      3         19        0.02                8.94                
2014      4         9         0.016               33.63               
2014      4         10        0.016               31.09               
2014      5         15        0.007               45.04               
2014      6         17        0.036               1095.42             
2014      7         16        0.016               69.42               
2014      8         13        0.006               50.5                
2014      9         10        0.015               204.19              
2014      10        16        0.031               378.3               
2014      11        12        0.012               56.97               
2014      12        10        0.02                154.57              
2015      1         14        0.007               83.3                
2015      2         11        0.005               61.97               
2015      3         19        0.006               34.05               
2015      3         19        0.01                34.05               
2015      4         22        0.03                540.69              
2015      5         27        0.005               118.09              
2015      6         17        0.028               93.54               
2015      7         27        0.007               326.4               
2015      8         19        0.007               126.04              
2015      9         9         0.008               351.14              
2015      10        21        0.008               121.6               
2015      11        18        0.013               96.48               
2015      12        16        0.013               54.98               
2016      1         20        0.011               45.8                
2016      2         17        0.017               39.0                
2016      3         21        0.009               44.78               
2016      4         20        0.005               33.76               
2016      5         18        0.005               26.86               
2016      6         7         0.044               380.53              
2016      7         20        0.006               125.53              
2016      8         17        0.005               61.86               
2016      9         21        0.008               89.11               
2016      10        19        0.005               87.42               
2016      11        16        0.007               55.26               
2016      12        14        0.007               34.82               
2017      1         18        0.011               20.69               
2017      2         22        0.005               16.45               
2017      3         23        0.016               36.32               
2017      4         26        0.005               31.29               
2017      5         24        0.014               33.03               
2017      6         22        0.006               28.08               
2017      7         19        0.005               23.14               
2017      8         16        0.006               23.22               
2017      9         26        0.007               21.52               
2017      10        25        0.013               13.87               
2017      11        29        0.014               13.37               
2017      12        20        0.014               12.33               
2018      1         17        0.014               21.15               
2018      2         20        0.013               7.2                 
2018      3         21        0.012               3.33                
2018      4         18        0.009               0.43                
2018      5         16        0.018               34.13               
2018      6         20        0.018               149.29              
2018      7         18        0.008               19.69               
2018      8         15        0.005               11.32               
2018      9         12        0.006               11.44               
2018      10        24        0.012               14.81               
2018      11        22        0.013               6.53                
2018      12        19        0.015               19.5                
