Year      Month     Day       Conc_mg/l Q_cfs     
2008      1         9         0.851     2410      
2008      1         29        0.918     3920      
2008      2         13        0.934     2520      
2008      2         21        0.985     2500      
2008      3         24        1.03      3290      
2008      4         9         0.928     3430      
2008      5         28        1.04      1620      
2008      6         27        0.995     1800      
2008      7         23        0.917     1670      
2008      9         12        1.02      1320      
2008      10        29        1.29      1150      
2008      11        20        0.719     1530      
2008      12        4         0.703     1810      
2009      1         22        0.98      2020      
2009      1         29        0.901     2050      
2009      2         19        0.824     2570      
2009      2         25        0.896     2760      
2009      3         19        0.901     3220      
2009      3         30        0.904     3250      
2009      4         23        0.926     2900      
2009      4         30        0.993     2330      
2009      6         30        0.92      1700      
2009      8         27        0.861     1320      
2009      8         31        0.814     1390      
2009      10        29        0.748     1190      
2009      11        30        0.65      1850      
2009      12        29        0.969     1500      
2010      1         20        0.917     3370      
2010      1         28        0.767     2720      
2010      2         18        0.719     2370      
2010      2         25        0.734     2610      
2010      3         24        0.761     3710      
2010      3         31        0.859     4030      
2010      4         22        0.754     3600      
2010      4         29        0.77      2900      
2010      6         22        1.0       1730      
2010      6         30        1.08      1690      
2010      8         16        1.1       1350      
2010      10        26        0.713     1620      
2010      11        18        0.701     1730      
2010      12        14        0.706     2460      
2011      1         13        0.845     2000      
2011      1         27        0.761     3170      
2011      2         10        0.907     2420      
2011      2         24        0.667     3640      
2011      3         17        0.909     3080      
2011      3         30        0.866     3040      
2011      4         14        0.738     3960      
2011      4         28        0.731     2460      
2011      5         19        0.803     1520      
2011      6         15        0.642     1770      
2011      8         17        1.02      1360      
2011      8         18        1.04      1370      
2011      10        24        0.851     830       
2011      11        29        0.582     1740      
2011      12        20        0.734     1260      
2012      1         12        0.93      1850      
2012      1         26        0.777     2420      
2012      2         15        0.708     2690      
2012      3         13        0.78      2810      
2012      3         28        0.867     3050      
2012      4         11        0.809     2860      
2012      4         26        0.854     2430      
2012      5         8         1.03      1460      
2012      6         26        0.966     1610      
2012      8         8         0.9       1300      
2012      10        17        0.848     1200      
2012      11        27        0.698     1600      
2012      12        27        0.684     1710      
2013      1         16        0.713     2050      
2013      1         30        0.62      3710      
2013      2         14        0.685     2850      
2013      2         28        0.758     3090      
2013      3         13        0.687     2930      
2013      3         27        0.851     2920      
2013      4         15        0.808     3010      
2013      4         29        0.744     2200      
2013      5         23        0.804     1260      
2013      6         19        0.652     1410      
2013      8         13        0.627     1350      
2013      10        29        1.17      858       
2013      11        25        0.823     1920      
2013      12        17        0.909     1570      
2014      1         22        0.829     2250      
2014      1         29        0.847     2190      
2014      2         10        0.857     2510      
2014      2         24        0.632     2910      
2014      3         12        0.562     3180      
2014      3         26        0.671     6570      
2014      4         16        0.556     3960      
2014      4         30        0.587     2660      
2014      5         13        0.698     1680      
2014      6         19        0.592     1650      
2014      8         26        0.939     1580      
2014      10        28        1.34      851       
2014      11        19        0.932     1520      
2014      12        17        1.23      1530      
2015      1         14        0.642     2430      
2015      1         28        0.684     2330      
2015      2         11        0.589     2690      
2015      2         25        0.676     3300      
2015      3         11        0.593     3340      
2015      3         25        0.623     3440      
2015      4         15        0.794     3480      
2015      4         29        0.543     2450      
2015      5         20        0.673     1410      
2015      6         24        0.587     1470      
2015      8         19        0.865     1300      
2015      10        21        0.812     816       
2015      12        16        0.987     1650      
2016      1         12        0.595     2480      
2016      1         27        0.594     2500      
2016      2         9         0.637     2750      
2016      2         24        0.696     3170      
2016      3         9         0.852     3220      
2016      3         23        0.966     3450      
2016      4         11        0.771     4240      
2016      4         26        0.732     2380      
2016      6         27        0.733     1360      
2016      8         24        0.991     1270      
2016      10        18        0.787     819       
2016      12        14        0.74      1730      
2017      1         9         0.856     1320      
2017      1         24        0.867     2270      
2017      2         8         0.734     2320      
2017      2         28        0.612     3030      
2017      3         15        0.729     3110      
2017      3         30        0.681     3190      
2017      4         11        0.7       3050      
2017      4         25        0.65      2380      
2017      6         6         0.584     1950      
2017      8         15        0.851     1500      
2017      10        19        1.55      876       
2017      12        12        0.966     1690      
2018      1         16        0.888     1930      
2018      1         30        0.799     2100      
2018      2         13        0.757     2470      
2018      2         27        0.862     2660      
2018      3         13        0.883     3040      
2018      3         29        0.71      3130      
2018      4         11        0.722     2850      
2018      4         24        0.76      2430      
2018      6         4         0.771     2030      
2018      8         14        0.626     1580      
2018      10        24        0.8       876       
2018      12        11        0.628     1820      
