Year    Month   Day     Conc_mg/l Q_cfs     
2008      1         9         0.04      2410      
2008      1         29        0.074     3920      
2008      2         13        0.029     2520      
2008      2         21        0.029     2500      
2008      3         24        0.052     3290      
2008      4         9         0.029     3430      
2008      5         28        0.033     1620      
2008      6         27        0.049     1800      
2008      7         23        0.02      1670      
2008      9         12        0.043     1320      
2008      10        29        0.045     1150      
2008      11        20        0.031     1530      
2008      12        4         0.02      1810      
2009      1         22        0.034     2020      
2009      1         29        0.033     2050      
2009      2         19        0.02      2570      
2009      2         25        0.029     2760      
2009      3         19        0.02      3220      
2009      3         30        0.021     3250      
2009      4         23        0.02      2900      
2009      4         30        0.02      2330      
2009      6         30        0.03      1700      
2009      8         27        0.031     1320      
2009      8         31        0.022     1390      
2009      10        29        0.02      1190      
2009      11        30        0.027     1850      
2009      12        29        0.02      1500      
2010      1         20        0.075     3370      
2010      1         28        0.027     2720      
2010      2         18        0.024     2370      
2010      2         25        0.02      2610      
2010      3         24        0.02      3710      
2010      3         31        0.043     4030      
2010      4         22        0.046     3600      
2010      4         29        0.092     2900      
2010      6         22        0.019     1730      
2010      6         30        0.022     1690      
2010      8         16        0.037     1350      
2010      10        26        0.02      1620      
2010      11        18        0.015     1730      
2010      12        14        0.02      2460      
2011      1         13        0.02      2000      
2011      1         27        0.029     3170      
2011      2         10        0.02      2420      
2011      2         24        0.027     3640      
2011      3         17        0.023     3080      
2011      3         30        0.028     3040      
2011      4         14        0.04      3960      
2011      4         28        0.029     2460      
2011      5         19        0.019     1520      
2011      6         15        0.029     1770      
2011      8         17        0.025     1360      
2011      8         18        0.016     1370      
2011      10        24        0.04      830       
2011      11        29        0.018     1740      
2011      12        20        0.022     1260      
2012      1         12        0.034     1850      
2012      1         26        0.028     2420      
2012      2         15        0.031     2690      
2012      3         13        0.022     2810      
2012      3         28        0.02      3050      
2012      4         11        0.02      2860      
2012      4         26        0.026     2430      
2012      5         8         0.021     1460      
2012      6         26        0.022     1610      
2012      8         8         0.042     1300      
2012      10        17        0.0278    1200      
2012      11        27        0.015     1600      
2012      12        27        0.0152    1710      
2013      1         16        0.0167    2050      
2013      1         30        0.123     3710      
2013      2         14        0.0255    2850      
2013      2         28        0.0304    3090      
2013      3         13        0.0272    2930      
2013      3         27        0.0234    2920      
2013      4         15        0.0248    3010      
2013      4         29        0.0222    2200      
2013      5         23        0.022     1260      
2013      6         19        0.0264    1410      
2013      8         13        0.0217    1350      
2013      10        29        0.0282    858       
2013      11        25        0.041     1920      
2013      12        17        0.024     1570      
2014      1         22        0.0183    2250      
2014      1         29        0.0207    2190      
2014      2         10        0.022     2510      
2014      2         24        0.0231    2910      
2014      3         12        0.0212    3180      
2014      3         26        0.0463    6570      
2014      4         16        0.0383    3960      
2014      4         30        0.0224    2660      
2014      5         13        0.021     1680      
2014      6         19        0.0258    1650      
2014      8         26        0.0319    1580      
2014      10        28        0.0314    851       
2014      11        19        0.059     1520      
2014      12        17        0.0255    1530      
2015      1         14        0.0267    2430      
2015      1         28        0.0267    2330      
2015      2         11        0.0248    2690      
2015      2         25        0.0345    3300      
2015      3         11        0.0533    3340      
2015      3         25        0.0393    3440      
2015      4         15        0.0481    3480      
2015      4         29        0.0213    2450      
2015      5         20        0.034     1410      
2015      6         24        0.0326    1470      
2015      8         19        0.023     1300      
2015      10        21        0.0312    816       
2015      12        16        0.022     1650      
2016      1         12        0.0268    2480      
2016      1         27        0.0328    2500      
2016      2         9         0.0243    2750      
2016      2         24        0.0399    3170      
2016      3         9         0.0445    3220      
2016      3         23        0.0359    3450      
2016      4         11        0.0744    4240      
2016      4         26        0.0269    2380      
2016      6         27        0.0249    1360      
2016      8         24        0.0324    1270      
2016      10        18        0.0273    819       
2016      12        14        0.0187    1730      
2017      1         9         0.0215    1320      
2017      1         24        0.0271    2270      
2017      2         8         0.0206    2320      
2017      2         28        0.0219    3030      
2017      3         15        0.0339    3110      
2017      3         30        0.0288    3190      
2017      4         11        0.025     3050      
2017      4         25        0.0227    2380      
2017      6         6         0.0232    1950      
2017      8         15        0.027     1500      
2017      10        19        0.035     876       
2017      12        12        0.0208    1690      
2018      1         16        0.0223    1930      
2018      1         30        0.0192    2100      
2018      2         13        0.0283    2470      
2018      2         27        0.0201    2660      
2018      3         13        0.0217    3040      
2018      3         29        0.0256    3130      
2018      4         11        0.0351    2850      
2018      4         24        0.0222    2430      
2018      6         4         0.0243    2030      
2018      8         14        0.0233    1580      
2018      10        24        0.0302    876       
2018      12        11        0.0181    1820      
